user_id,Precision@K,Recall@K,NDCG@K,MAP@K,Intra_List_Diversity,Genre_Diversity,Novelty_Score,Long_Tail_%,Catalog_Coverage,Gini_Index
590,0.0,0.0,0.0,0.0,0.8702329360348704,0.5652173913043478,3.5900667814788663,0.2,,
10,0.0,0.0,0.0,0.0,0.8564787342634776,0.5416666666666666,5.107324730078561,0.6,,
76,0.0,0.0,0.0,0.0,0.8430609965921316,0.5185185185185185,3.042834829559878,0.3,,
577,0.0,0.0,0.0,0.0,0.774992270583345,0.46875,4.512419472317492,0.6,,
84,0.0,0.0,0.0,0.0,0.8301556826995873,0.5,4.255182937672293,0.5,,
141,0.0,0.0,0.0,0.0,0.8174516726956744,0.5789473684210527,4.110059579797794,0.5,,
575,0.0,0.0,0.0,0.0,0.7841817385815723,0.3939393939393939,3.062923478492798,0.3,,
336,0.0,0.0,0.0,0.0,0.8332800018688036,0.46153846153846156,3.4876749545127184,0.4,,
246,0.0,0.0,0.0,0.0,0.8797451744869351,0.5555555555555556,4.544187885313421,0.5,,
329,0.0,0.0,0.0,0.0,0.7485709257338593,0.45454545454545453,4.387434295182804,0.6,,
109,0.0,0.0,0.0,0.0,0.7611152421346892,0.4827586206896552,3.7456502147081645,0.3,,
178,0.0,0.0,0.0,0.0,0.8161853919524114,0.4782608695652174,3.4701799975178034,0.3,,
483,0.0,0.0,0.0,0.0,0.9069798824540778,0.6086956521739131,4.291126739606642,0.5,,
303,0.0,0.0,0.0,0.0,0.8763238634958095,0.5,3.664953236349907,0.3,,
584,0.0,0.0,0.0,0.0,0.8950842436159512,0.5769230769230769,3.535099834492626,0.4,,
300,0.0,0.0,0.0,0.0,0.7547296016123995,0.5,3.921193431976847,0.4,,
369,0.0,0.0,0.0,0.0,0.9196429457274695,0.6818181818181818,3.6768372722362708,0.2,,
157,0.0,0.0,0.0,0.0,0.7472905995074763,0.4,2.5322205409424576,0.3,,
610,0.0,0.0,0.0,0.0,0.8257254885414147,0.5217391304347826,4.003217142615625,0.4,,
295,0.0,0.0,0.0,0.0,0.823042871638586,0.5,3.3492448893037,0.4,,
70,0.0,0.0,0.0,0.0,0.7521050624749535,0.48,4.342973233716586,0.6,,
330,0.0,0.0,0.0,0.0,0.8264699809207632,0.5357142857142857,4.370004023531726,0.6,,
417,0.0,0.0,0.0,0.0,0.8507890547570964,0.5,3.1548369733723005,0.1,,
83,0.0,0.0,0.0,0.0,0.8717801963822359,0.6086956521739131,3.767804195092726,0.4,,
44,0.0,0.0,0.0,0.0,0.821595187301578,0.48,4.660061774807949,0.7,,
370,0.0,0.0,0.0,0.0,0.8175289771797174,0.5172413793103449,3.0519489491744145,0.2,,
122,0.0,0.0,0.0,0.0,0.9015540248795868,0.5789473684210527,4.549953162296517,0.5,,
5,0.0,0.0,0.0,0.0,0.8463986165155251,0.6153846153846154,3.4906040519725168,0.3,,
354,0.0,0.0,0.0,0.0,0.8587266875480943,0.5833333333333334,4.5886634340846495,0.5,,
142,0.0,0.0,0.0,0.0,0.841436877475339,0.46153846153846156,2.721771545841919,0.3,,
305,0.0,0.0,0.0,0.0,0.7358213160796258,0.36,4.461977822406029,0.5,,
359,0.0,0.0,0.0,0.0,0.7394000327468889,0.4583333333333333,4.250417418188173,0.4,,
592,0.0,0.0,0.0,0.0,0.7503434435424245,0.32142857142857145,3.644024611825558,0.4,,
196,0.0,0.0,0.0,0.0,0.8853924982331366,0.68,3.274468476333353,0.4,,
88,0.1,0.3333333333333333,0.20210734650054757,0.08333333333333333,0.7744550351253846,0.41379310344827586,2.9168192203359284,0.3,,
271,0.0,0.0,0.0,0.0,0.7427747742805728,0.45454545454545453,4.557428641298288,0.5,,
587,0.0,0.0,0.0,0.0,0.8913004309745527,0.5833333333333334,3.9001718882996115,0.5,,
215,0.0,0.0,0.0,0.0,0.7736019008554191,0.43478260869565216,5.207741560505205,0.7,,
62,0.0,0.0,0.0,0.0,0.9168591762886676,0.6363636363636364,3.8079598083484614,0.4,,
90,0.0,0.0,0.0,0.0,0.855592098135075,0.56,4.357453877730855,0.5,,
416,0.0,0.0,0.0,0.0,0.783396502506597,0.4838709677419355,2.845523156949721,0.2,,
238,0.0,0.0,0.0,0.0,0.8633056846933844,0.5384615384615384,4.671701887749672,0.5,,
432,0.0,0.0,0.0,0.0,0.7791537684622745,0.52,4.294825186346087,0.5,,
36,0.1,0.5,0.20438239758848611,0.07142857142857142,0.8219507679475134,0.5185185185185185,4.024883651909051,0.6,,
99,0.1,0.3333333333333333,0.2960819109658652,0.16666666666666666,0.8691757717244453,0.5333333333333333,3.112959728065759,0.4,,
134,0.0,0.0,0.0,0.0,0.8521940888949873,0.5769230769230769,3.7322005031855574,0.4,,
120,0.0,0.0,0.0,0.0,0.8830900197898144,0.5714285714285714,3.4745500385211914,0.5,,
174,0.0,0.0,0.0,0.0,0.8262500076995096,0.43478260869565216,3.7963383155986294,0.2,,
352,0.0,0.0,0.0,0.0,0.8224888974382398,0.4666666666666667,3.4909391959613685,0.5,,
389,0.0,0.0,0.0,0.0,0.8125065295505601,0.4838709677419355,2.5793967893826255,0.2,,
AVERAGE,0.006000000000000001,0.02333333333333333,0.01405143310109798,0.006428571428571428,0.82663415349249,0.5136033145725954,3.827804707339782,0.41600000000000004,0.026996509956887703,0.419300380228137
